Measurement report of dcv_sheet_total,,,,,,
Generated by DesCoVer 2.6.0,,,,,,
Date,2016-10-11 03:47:34 -0500,Author,b48923,,,
,,,,,,
,,,,,,
Testbench: LIB: esd_sm8mvLib - CELL: wunchbell_patrice - VIEW: schematic_total - Tue Oct 11 03:47:55 CDT 2016,,,,,,
,,,,,,
,,,,,,
Setup: Parameters or device casing alteration,,,,,,
Err:510,,,,,,
risetime=1n start=45u ,,,,,,
,,,,,,
,,,,,,
amplitude,length,time,vin,v2p5,vclamp9,v1p0
-30,0.000001,4.81918E-007,5.77659,0.000344122,1.61203,0.0158396
-30,0.000001,4.84475E-007,5.80722,0.000347193,1.7126,0.0163473
-30,0.000001,4.86891E-007,5.83617,0.000347085,1.80838,0.0168092
-30,0.000001,4.87408E-007,5.84237,0.000349303,1.829,0.016905
-30,0.000001,4.88443E-007,5.85478,0.000348571,1.87039,0.0170938
-30,0.000001,4.89709E-007,5.86996,0.000349736,1.92128,0.0173213
-30,0.000001,4.90802E-007,5.88307,0.000351644,1.96541,0.0175118
-30,0.000001,4.91724E-007,5.89413,0.000349849,2.00286,0.0176728
-30,0.000001,4.92853E-007,5.90768,0.000353322,2.04898,0.0178696
-30,0.000001,4.93887E-007,5.92009,0.000351948,2.0914,0.0180481
-30,0.000001,4.95253E-007,5.93647,0.000353853,2.14765,0.0182785
-30,0.000001,4.97214E-007,5.96,0.000355169,2.22878,0.0185993
-30,0.000001,5.00146E-007,5.99519,0.000356617,2.35067,0.0190552
-30,0.000001,0.000000504,6.04142,0.000359848,2.51093,0.0195983
-30,0.000001,5.05303E-007,6.05708,0.000363488,2.56525,0.0197837
-30,0.000001,5.0791E-007,6.08836,0.000359328,2.67384,0.0201155
-30,0.000001,5.11282E-007,6.12885,0.000369825,2.81413,0.0205332
-30,0.000001,0.000000515,6.17365,0.000363746,2.96883,0.0209365
-30,0.000001,5.2062E-007,6.24092,0.000378763,3.19944,0.021488
-30,0.000001,0.000000528,6.32944,0.000375039,3.49844,0.0220576
-30,0.000001,5.37898E-007,6.44823,0.000396732,3.8895,0.0226213
-30,0.000001,5.52144E-007,6.61907,0.000402942,4.42646,0.0230089
-30,0.000001,5.56578E-007,6.67223,0.000420713,4.58661,0.0230552
-30,0.000001,5.58795E-007,6.69881,0.000411385,4.66525,0.0230471
-30,0.000001,5.63229E-007,6.75196,0.000430923,4.81955,0.0230319
-30,0.000001,5.65254E-007,6.77623,0.00042087,4.8886,0.022997
-30,0.000001,5.69303E-007,6.82477,0.000440218,5.02418,0.0229371
-30,0.000001,5.71328E-007,6.84904,0.000431136,5.09069,0.0228819
-30,0.000001,5.75377E-007,6.89759,0.000449285,5.22126,0.0227824
-30,0.000001,5.82499E-007,6.98297,0.000450927,5.44298,0.0225257
-30,0.000001,5.844E-007,7.00575,0.000463789,5.50078,0.0224721
-30,0.000001,5.88201E-007,7.05132,0.000463222,5.61497,0.0223151
-30,0.000001,5.9382E-007,7.11868,0.000480476,5.78086,0.0221088
-30,0.000001,5.99529E-007,7.18713,0.000486419,5.94641,0.0218626
-30,0.000001,6.08367E-007,7.29309,0.000509243,6.19834,0.0215133
-30,0.000001,6.11124E-007,7.32614,0.000512652,6.27605,0.0213869
-30,0.000001,6.16637E-007,7.39225,0.000525077,6.43048,0.021173
