time v(/v0) v(/v1) v(/v2) v(/v3) v(/v4)
3.50247227485075e-07 0.222222222222222 0.25637704425593 0.200198553388207 0.227233069758415 0.0
3.50371909031876e-07 0.222222222222222 0.255877045940117 0.201672806315552 0.226684242819296 0.0
3.50496788034794e-07 0.222222222222222 0.255375324325198 0.203557130674189 0.222223776669373 0.0
3.50621497467903e-07 0.222222222222222 0.254873398437474 0.205787557642984 0.218428331478519 0.0
3.50746423058064e-07 0.222222222222222 0.254369759060093 0.208303968348904 0.218083757654707 0.0
3.5087181453658e-07 0.222222222222222 0.25386343538295 0.211040219782108 0.219733666737647 0.0
3.50997508199119e-07 0.222222222222222 0.253355123083689 0.213917753743538 0.222041741401161 0.0
3.51122691255403e-07 0.222222222222222 0.252848151755588 0.216841133719384 0.22513468900335 0.0
3.51247708564872e-07 0.222222222222222 0.252341170087938 0.219744516820267 0.227203899826314 0.0
3.5137279090381e-07 0.222222222222222 0.251833281328318 0.22256528190096 0.225352593819128 0.0
3.5149802394414e-07 0.222222222222222 0.251324173231082 0.22524447370217 0.220667083034816 0.0
3.5162318280421e-07 0.222222222222222 0.250814795660488 0.227725658915209 0.217698301019732 0.0
3.51748289192724e-07 0.222222222222222 0.250305096286154 0.229968457427024 0.218440915172501 0.0
3.51873345036134e-07 0.222222222222222 0.249795102010942 0.231943147382148 0.220981936568697 0.0
3.5199810583559e-07 0.222222222222222 0.249285844933793 0.233628131946324 0.223611136909065 0.0
3.52122942334318e-07 0.222222222222222 0.248775844911047 0.235020987727957 0.225955843633182 0.0
3.5224795825978e-07 0.222222222222222 0.248264707917313 0.236123593070297 0.226516373387965 0.0
3.52372831772138e-07 0.222222222222222 0.247753779745863 0.236943125590333 0.22366163746415 0.0
3.52497956472247e-07 0.222222222222222 0.247241478792439 0.237498980208357 0.219226366906075 0.0
3.52623295147201e-07 0.222222222222222 0.246727984048448 0.23781197777215 0.21735379152431 0.0
3.52748666667178e-07 0.222222222222222 0.246214064399162 0.237906773851215 0.21934704272577 0.0
3.52874335485093e-07 0.222222222222222 0.245698661734171 0.237810077844289 0.222709671193539 0.0
3.52999860346726e-07 0.222222222222222 0.245183611506613 0.237548789322786 0.22510210653144 0.0
3.53125152479249e-07 0.222222222222222 0.24466930439764 0.23714861075835 0.226074980228072 0.0
3.53250524237218e-07 0.222222222222222 0.244154483213231 0.236630184755346 0.225104120315455 0.0
3.53376068181061e-07 0.222222222222222 0.243638791206935 0.236009824608787 0.221708002831468 0.0
3.5350165277622e-07 0.222222222222222 0.2431227914925 0.235300032160222 0.218024200272552 0.0
3.53626877274446e-07 0.222222222222222 0.242608153629838 0.234510352016067 0.217672236420112 0.0
3.53752075555535e-07 0.222222222222222 0.242093527755557 0.233641118319536 0.22104538243624 0.0
3.53877444097208e-07 0.222222222222222 0.241578127229703 0.232688637476704 0.22470341155 0.0
3.54002679227518e-07 0.222222222222222 0.241063220955291 0.231649704925693 0.225971947252674 0.0
3.54127699114815e-07 0.222222222222222 0.24054916549287 0.230517846467414 0.225215633926629 0.0
3.5425282215102e-07 0.222222222222222 0.240034671076932 0.229282124817482 0.223166722973086 0.0
3.54377895994515e-07 0.222222222222222 0.239520382929266 0.227936641535594 0.219954311607928 0.0
