# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S12[dB]	Trc3_S21[dB]	Trc4_S22[dB]	
1.324046092184369E+008	-2.679973038290391E-001	-2.812226169586432E+001	-2.738211376736491E+001	-1.974622895007207E+000	
1.364123246492986E+008	-3.058275915141014E-001	-2.973616702808563E+001	-2.895228736570221E+001	-1.975761169683197E+000	
1.404200400801603E+008	-1.770520330573556E-001	-2.984866261807298E+001	-2.901005595453454E+001	-1.961414667558089E+000	
1.444277555110221E+008	-7.447979136832394E-002	-2.903374626807259E+001	-2.811667931223442E+001	-1.971796713968835E+000	
1.484354709418838E+008	-2.445526148260904E-002	-2.838248341852043E+001	-2.737315579840103E+001	-1.983065519681473E+000	
1.524431863727455E+008	1.397528075150502E-002	-2.792530849160319E+001	-2.683294100388014E+001	-1.994748149466403E+000	
1.564509018036072E+008	5.007814284607952E-002	-2.760939331022696E+001	-2.642545803783462E+001	-2.004688139344392E+000	
1.604586172344689E+008	8.596809246258032E-002	-2.737231152404661E+001	-2.611039463947272E+001	-2.017701829976062E+000	
1.644663326653307E+008	1.205220840739189E-001	-2.719604650667424E+001	-2.586524739852612E+001	-2.033322489784670E+000	
1.684740480961924E+008	1.511248095626984E-001	-2.707220767935882E+001	-2.568893108068426E+001	-2.046200662149712E+000	
1.724817635270541E+008	1.823757579584428E-001	-2.689018545108355E+001	-2.547169887529358E+001	-2.051518695570849E+000	
1.764894789579158E+008	2.135823114016259E-001	-2.670329635446465E+001	-2.525673168610199E+001	-2.059546838629841E+000	
1.804971943887776E+008	2.414057464668095E-001	-2.655238804820151E+001	-2.508648491452144E+001	-2.070893863951723E+000	
1.845049098196393E+008	2.737424205011845E-001	-2.640604441862930E+001	-2.492305565806126E+001	-2.077332467129287E+000	
1.885126252505010E+008	3.095404885536708E-001	-2.617859628410833E+001	-2.468232285648673E+001	-2.089068910492362E+000	
1.925203406813628E+008	3.439105694814853E-001	-2.598379206690142E+001	-2.445824545991976E+001	-2.097712851387585E+000	
1.965280561122245E+008	3.746796599371182E-001	-2.578520750105778E+001	-2.422377344486078E+001	-2.105159848926409E+000	
2.005357715430862E+008	4.060273191734679E-001	-2.558576898262224E+001	-2.397683123660680E+001	-2.114802823922971E+000	
2.045434869739479E+008	4.369383729277431E-001	-2.542917978547266E+001	-2.376170425659303E+001	-2.128072200601043E+000	
2.085512024048096E+008	4.725673495613990E-001	-2.530950651779262E+001	-2.356644488516562E+001	-2.143228283830569E+000	
2.125589178356714E+008	5.156885340935146E-001	-2.523006974828328E+001	-2.339105596257089E+001	-2.152974370623462E+000	
2.165666332665331E+008	5.623909229698213E-001	-2.505360481080661E+001	-2.309819523806853E+001	-2.166626434243008E+000	
2.205743486973948E+008	6.103784199650250E-001	-2.488144219873083E+001	-2.279666085258612E+001	-2.190895013844445E+000	
2.245820641282565E+008	6.624480975408045E-001	-2.481679928139769E+001	-2.258459544043905E+001	-2.222097281309045E+000	
2.285897795591182E+008	7.224733122348107E-001	-2.484694802017426E+001	-2.244851420701138E+001	-2.242333209878808E+000	
2.325974949899800E+008	7.819149678876903E-001	-2.486092097859153E+001	-2.228153290252963E+001	-2.251261222074638E+000	
2.366052104208417E+008	8.420348858312803E-001	-2.481933836508151E+001	-2.204458634894969E+001	-2.251339977247977E+000	
2.406129258517034E+008	8.976824638159813E-001	-2.466340277300283E+001	-2.168783024304726E+001	-2.244045732942969E+000	
2.446206412825652E+008	9.512890737524090E-001	-2.444627908353866E+001	-2.128051948979518E+001	-2.244071086366680E+000	
2.486283567134269E+008	1.005664349107834E+000	-2.421833235492337E+001	-2.086794290996470E+001	-2.254273892654332E+000	
2.526360721442886E+008	1.058565685079218E+000	-2.402865623622773E+001	-2.051574518173025E+001	-2.266533599275498E+000	
2.566437875751503E+008	1.109552166392805E+000	-2.390193307637114E+001	-2.026519144748196E+001	-2.264855527209119E+000	
2.606515030060120E+008	1.166473887122046E+000	-2.379496380676707E+001	-2.007065365865440E+001	-2.265419160879699E+000	
2.646592184368738E+008	1.242132044460207E+000	-2.369486785176356E+001	-1.991024418801068E+001	-2.272907685769168E+000	
2.686669338677355E+008	1.318477590392980E+000	-2.356171267689000E+001	-1.974968545240625E+001	-2.280684361680845E+000	
2.726746492985972E+008	1.384266942588918E+000	-2.335917198106378E+001	-1.954762217557443E+001	-2.286404913365018E+000	
2.766823647294589E+008	1.436796023849456E+000	-2.314926014645816E+001	-1.936368509313091E+001	-2.295340764915039E+000	
2.806900801603206E+008	1.496475572576729E+000	-2.294276489752591E+001	-1.918518028304041E+001	-2.310153015341978E+000	
2.846977955911824E+008	1.559319142992076E+000	-2.275620164194906E+001	-1.901015170008658E+001	-2.326195601859743E+000	
2.887055110220441E+008	1.625848761854747E+000	-2.258867291526541E+001	-1.882622811811350E+001	-2.343151270313463E+000	
2.927132264529058E+008	1.692796921665630E+000	-2.243622368128001E+001	-1.862890096547508E+001	-2.356620033605864E+000	
2.967209418837676E+008	1.752765362951246E+000	-2.229351211883442E+001	-1.841203404140257E+001	-2.371255015423745E+000	
3.007286573146293E+008	1.812218700314593E+000	-2.217247116679065E+001	-1.816526548329666E+001	-2.387258739161466E+000	
3.047363727454910E+008	1.867474848614989E+000	-2.207182351362689E+001	-1.790424367335810E+001	-2.408598272762624E+000	
3.087440881763527E+008	1.925832593615966E+000	-2.202852968529138E+001	-1.764668817641911E+001	-2.431452915222290E+000	
3.127518036072145E+008	1.978189913460635E+000	-2.201975432637848E+001	-1.738115095118622E+001	-2.455763357469434E+000	
3.167595190380762E+008	2.034307050170381E+000	-2.203180304779176E+001	-1.708994860907793E+001	-2.478259509380902E+000	
3.207672344689379E+008	2.091366678068062E+000	-2.212115915534600E+001	-1.682783613401719E+001	-2.502440815654710E+000	
3.247749498997996E+008	2.152478509684028E+000	-2.224107711971094E+001	-1.655522103081981E+001	-2.527115296713574E+000	
3.287826653306614E+008	2.216198777613034E+000	-2.238000805973054E+001	-1.627688361423115E+001	-2.548316059370578E+000	
3.327903807615231E+008	2.273374346015561E+000	-2.255428837183393E+001	-1.603754615886016E+001	-2.572264939278091E+000	
3.367980961923848E+008	2.322189277917746E+000	-2.271100612094863E+001	-1.582704956594477E+001	-2.593090035521341E+000	
3.408058116232465E+008	2.364938644419571E+000	-2.280196391089930E+001	-1.563416811827685E+001	-2.612127205673852E+000	
3.448135270541082E+008	2.401711866916873E+000	-2.274348434994110E+001	-1.542178572399016E+001	-2.631566466920695E+000	
3.488212424849700E+008	2.440944428220707E+000	-2.250070775201389E+001	-1.518566058223540E+001	-2.657379350818062E+000	
3.528289579158317E+008	2.484509692337146E+000	-2.208749923407871E+001	-1.492351039838635E+001	-2.685125755775311E+000	
3.568366733466934E+008	2.531170384634485E+000	-2.161195444982319E+001	-1.470904911376519E+001	-2.719647537867040E+000	
3.608443887775551E+008	2.573468709924914E+000	-2.117203833273297E+001	-1.459902357213868E+001	-2.760648407604720E+000	
3.648521042084168E+008	2.590393932028960E+000	-2.075505925386642E+001	-1.452949788463841E+001	-2.812896634485961E+000	
3.688598196392786E+008	2.577007002146765E+000	-2.043246911113376E+001	-1.452369113770833E+001	-2.870562028199794E+000	
3.728675350701403E+008	2.537395452606075E+000	-2.026870153568843E+001	-1.461642245205645E+001	-2.932092317063456E+000	
3.768752505010020E+008	2.509860957221174E+000	-2.026804120364468E+001	-1.478256727293048E+001	-2.994759428102709E+000	
3.808829659318637E+008	2.468230215546910E+000	-2.037229844895494E+001	-1.498679550922902E+001	-3.046393169452438E+000	
3.848906813627255E+008	2.371978559062579E+000	-2.046518418600940E+001	-1.511702846030789E+001	-3.063269229594282E+000	
3.888983967935872E+008	2.261209018425874E+000	-2.073645542592101E+001	-1.535332481429159E+001	-3.045124334414084E+000	
3.929061122244489E+008	2.139811081418063E+000	-2.108771717249349E+001	-1.557681621171584E+001	-3.008161267693590E+000	
3.969138276553106E+008	1.983532258635391E+000	-2.157934430086747E+001	-1.586806535077995E+001	-2.978556535538121E+000	
4.009215430861723E+008	1.805787632360992E+000	-2.212598835604651E+001	-1.615420418085666E+001	-2.954308804335522E+000	
4.049292585170341E+008	1.552391519387810E+000	-2.261301410875428E+001	-1.640880559261546E+001	-2.939562435257723E+000	
4.089369739478958E+008	1.240235066196239E+000	-2.305225883249729E+001	-1.667544622997208E+001	-2.938906486567537E+000	
