# Version 1.00
#
freq[Hz]	Trc4_S21[dB]	Trc7_S21[°]	
6.423587827715781E+005	-7.358651544227202E+001	8.825382628938527E+001	
6.547026167937864E+005	-7.398665328832449E+001	8.332189691037362E+001	
6.672836550738869E+005	-7.362999019535214E+001	8.362323796118639E+001	
6.801064558277353E+005	-7.354740832183680E+001	8.916036656221014E+001	
6.931756648637627E+005	-7.293572490635383E+001	8.234099465551856E+001	
7.064960172661908E+005	-7.301404259072572E+001	8.609593671145214E+001	
7.200723391105926E+005	-7.327689606499449E+001	8.792317606998586E+001	
7.339095492124200E+005	-7.231039319708437E+001	8.650969488530980E+001	
7.480126609091325E+005	-7.262488307939715E+001	8.879590954606357E+001	
7.623867838765709E+005	-7.237875852467543E+001	8.779523756286486E+001	
7.770371259802361E+005	-7.283567734986667E+001	8.701627887696857E+001	
7.919689951621424E+005	-7.166246054246687E+001	8.833795744353503E+001	
8.071878013639296E+005	-7.158242501096233E+001	8.599678563418721E+001	
8.226990584869302E+005	-7.157529990353547E+001	8.781715138816213E+001	
8.385083863899020E+005	-7.146291013681854E+001	8.844792129859100E+001	
8.546215129251506E+005	-7.088128604044267E+001	8.563405135172827E+001	
8.710442760137778E+005	-7.131470001327534E+001	8.503217910398159E+001	
8.877826257608102E+005	-7.110576814182515E+001	8.646597837250322E+001	
9.048426266109715E+005	-7.094326008562307E+001	8.719214696666568E+001	
9.222304595458823E+005	-7.084766590068352E+001	8.589110164175317E+001	
9.399524243234813E+005	-7.039772711975911E+001	8.443478541984680E+001	
9.580149417604808E+005	-7.030676597104225E+001	8.758990108575523E+001	
9.764245560586823E+005	-7.027654449561368E+001	8.586295131799957E+001	
9.951879371759959E+005	-7.013330943820586E+001	8.704372529294795E+001	
1.014311883243022E+006	-7.039272373302016E+001	8.567246823027722E+001	
1.033803323026072E+006	-6.981014810072701E+001	8.899111101839681E+001	
1.053669318437517E+006	-6.908784003419973E+001	8.382808002134320E+001	
1.073917067094378E+006	-6.894306745551552E+001	8.889920230227473E+001	
1.094553904926085E+006	-6.883272765832614E+001	8.990324718356234E+001	
1.115587308832344E+006	-6.829026255218972E+001	8.789460274814390E+001	
1.137024899392081E+006	-6.819546419375412E+001	8.298614647532480E+001	
1.158874443624444E+006	-6.857081908869949E+001	8.233980592945704E+001	
1.181143857802853E+006	-6.860574240768897E+001	8.791064761924744E+001	
1.203841210323141E+006	-6.844050388793066E+001	8.361782749762578E+001	
1.226974724626793E+006	-6.843354272234853E+001	8.701104363729303E+001	
1.250552782180376E+006	-6.730705928653337E+001	8.896518398514387E+001	
1.274583925512209E+006	-6.769377781033464E+001	8.880440847592720E+001	
1.299076861307394E+006	-6.725623671337368E+001	8.420998282798648E+001	
1.324040463562322E+006	-6.755806264700242E+001	8.863083689396554E+001	
1.349483776799798E+006	-6.724828590884918E+001	8.463640670076848E+001	
1.375416019345944E+006	-6.748022839733898E+001	8.878017088577414E+001	
1.401846586670078E+006	-6.642942913147191E+001	8.816164217279156E+001	
1.428785054788771E+006	-6.713646970483627E+001	8.327330226857514E+001	
1.456241183735320E+006	-6.734020932916819E+001	9.063225799288721E+001	
1.484224921095886E+006	-6.605117551602463E+001	8.703097228428472E+001	
1.512746405613593E+006	-6.694427683635368E+001	8.523279524742758E+001	
1.541815970861877E+006	-6.617991176230606E+001	8.398883626602883E+001	
1.571444148988425E+006	-6.633445879584502E+001	8.366741096083189E+001	
1.601641674531065E+006	-6.586946988564587E+001	8.472733850653258E+001	
1.632419488306974E+006	-6.572149105165049E+001	8.483875889520991E+001	
1.663788741376632E+006	-6.518339555485339E+001	8.775000109966454E+001	
1.695760799083945E+006	-6.511807016394177E+001	8.764060219497056E+001	
