Time	V(t)	I(t)
6.88E-08	2.02E-02	1.76E-01
6.92E-08	1.60E-02	1.74E-01
6.96E-08	1.19E-02	1.74E-01
7.00E-08	2.00E-02	1.76E-01
7.04E-08	4.00E-03	1.75E-01
7.08E-08	8.06E-03	1.73E-01
7.12E-08	-1.22E-02	1.74E-01
7.16E-08	-2.00E-02	1.76E-01
7.20E-08	-1.20E-02	1.73E-01
7.24E-08	-2.83E-02	1.75E-01
7.28E-08	-3.19E-02	1.75E-01
7.32E-08	-3.24E-02	1.73E-01
7.36E-08	-4.42E-02	1.75E-01
7.40E-08	-4.01E-02	1.73E-01
7.44E-08	-5.22E-02	1.73E-01
7.48E-08	-5.59E-02	1.75E-01
7.52E-08	-4.40E-02	1.77E-01
7.56E-08	-4.40E-02	1.74E-01
7.60E-08	-4.00E-02	1.77E-01
7.64E-08	-3.60E-02	1.73E-01
7.68E-08	-3.60E-02	1.74E-01
7.72E-08	-3.21E-02	1.74E-01
7.76E-08	-1.62E-02	1.77E-01
7.80E-08	-8.19E-03	1.74E-01
7.84E-08	-4.13E-03	1.75E-01
7.88E-08	-3.13E-04	1.73E-01
7.92E-08	7.44E-03	1.74E-01
7.96E-08	1.52E-02	1.76E-01
8.00E-08	2.02E-02	1.77E-01
8.04E-08	1.62E-02	1.73E-01
8.08E-08	1.97E-02	1.74E-01
8.12E-08	2.02E-02	1.74E-01
8.16E-08	2.33E-02	1.76E-01
8.20E-08	3.63E-02	1.77E-01
8.24E-08	1.21E-02	1.76E-01
8.28E-08	2.40E-02	1.76E-01
8.32E-08	2.00E-02	1.77E-01
8.36E-08	2.00E-02	1.75E-01
8.40E-08	1.59E-02	1.75E-01
8.44E-08	3.94E-03	1.74E-01
8.48E-08	8.13E-03	1.75E-01
8.52E-08	7.97E-03	1.75E-01
8.56E-08	7.63E-03	1.77E-01
8.60E-08	-4.34E-03	1.74E-01
8.64E-08	-8.47E-03	1.73E-01
8.68E-08	-1.10E-02	1.75E-01
8.72E-08	7.59E-03	1.75E-01
