time v(/en) v(/clk) v(/rstb) v(/serial_out) v(/net97) v(/en_out)
0.000102085059710639 1.04252985531522 2.49999999999988 2.49999999999998 1.18791231878126 0.000373841113622009 0.000373834832920826
0.000102112469842935 1.0562349214636 2.50000000000004 2.49999999999995 1.18791028789225 0.000374695605101871 0.000374701623219287
0.000102147805168937 1.07390258446482 2.49999999999988 2.49999999999995 1.18790704219683 0.000372471593889805 0.000372468109677327
0.000102178839226485 1.08941961324037 2.50000000000004 2.49999999999992 1.1879034776871 0.0003667497257702 0.000366759245193727
0.000102208934065677 1.10446703283604 2.49999999999987 2.49999999999994 1.18789966851946 0.000359132999479645 0.000359131563397072
0.00010222200186673 1.11100093336356 2.50000000000003 2.4999999999999 1.18789790968331 0.000355226329715764 0.000355237096238037
0.000102248137468836 1.12406873441584 2.49999999999988 2.49999999999994 1.18789443028236 0.000347404757227964 0.000347403410879955
0.000102277781405746 1.13889070287203 2.50000000000003 2.4999999999999 1.18789044357325 0.00033806260048768 0.000338073757204692
0.000102324010588611 1.1620052943036 2.49999999999988 2.49999999999994 1.18788436296477 0.000323567019752139 0.000323565651095579
0.000102380507874652 1.19025393732497 2.50000000000003 2.49999999999989 1.18787708087107 0.000305609219830842 0.000305620439308953
0.00010246467310794 1.23233655396816 2.49999999999988 2.49999999999995 1.18786675106819 0.000279448724095997 0.000279447134329119
0.000102569295243599 1.28464762179835 2.50000000000003 2.4999999999999 1.18785469031603 0.000247567885040777 0.000247578854408403
0.000102743314735844 1.37165736792004 2.49999999999988 2.49999999999995 1.18783677617357 0.000197660916929754 0.000197658740455526
0.00010293184356928 1.46592178463938 2.50000000000003 2.4999999999999 1.18782027525109 0.000148126010222463 0.000148136175252784
0.000103246487031542 1.62324351576937 2.49999999999988 2.49999999999996 1.18779936768966 7.8786847686252e-05 7.87833298137396e-05
0.000103611124131416 1.80556206570728 2.50000000000004 2.49999999999992 1.18778486203682 2.31667446064922e-05 2.31748053058925e-05
0.000103755380820948 1.87769041047259 2.49999999999988 2.49999999999998 1.18778201105883 1.05635630559716e-05 1.0558084680473e-05
0.000104043894200013 2.02194710000593 2.50000000000004 2.49999999999993 1.18778001417461 8.52382927892199e-07 8.5884297547872e-07
