time v(/en) v(/clk) v(/rstb) v(/word) v(/net066) v(/en_out) v(/W0) v(/W1) v(/W2) v(/W3) v(/W4) v(/W5) v(/W6) v(/W7)
5.00305852592907e-05 -2.94705534895587e-11 0.970737042421425 2.49999999868281 2.49999999994991 0.0126128212620235 0.012696459157923 0.0126525388438893 2.50017005893432 0.0126518408608545 2.48891327058569 0.0126520585209342 0.0126520763930654 0.0126520763692901 0.0126520179517794
5.00305974333912e-05 4.00526786981658e-11 0.970128338678512 2.49999999895847 2.49999999997026 0.0125050838341161 0.0125737190592355 0.0125359099748532 2.50008237597268 0.0125351320935836 2.49013335569998 0.0125353877677784 0.0125354450230973 0.0125354450492623 0.0125353455489731
5.00306075366199e-05 -7.02919968598505e-13 0.969623176095059 2.49999999793677 2.49999999997162 0.012403957337949 0.0124634784405619 0.0124375521834466 2.50004804027388 0.0124367924152196 2.49106564929866 0.0124370437714371 0.0124371308404667 0.0124371308137502 0.0124370323689982
5.00306195036582e-05 6.68942150957608e-11 0.96902482553521 2.49999999923459 2.49999999999228 0.0122602077641309 0.0123140744761702 0.0123095736516409 2.50005410891863 0.0123089371731351 2.49209421682212 0.0123091284308298 0.0123092509900454 0.0123092510285442 0.0123091772521139
5.00306339916567e-05 2.04068144494566e-11 0.968300424548884 2.49999999836317 2.49999999999209 0.0120616338184742 0.0121128486777396 0.0121372983346071 2.50011807544838 0.0121368792818472 2.49323735453309 0.0121369828064007 0.0121371350386566 0.0121371350156285 0.0121370938501346
5.00306501552914e-05 7.23384307317752e-11 0.967492243782845 2.49999999965753 2.50000000000158 0.0118205044723801 0.0118737869905869 0.0119256390117496 2.50023637173962 0.0119254330773591 2.49438577180356 0.0119255029431648 0.011925662394635 0.0119256624288043 0.0119256554909246
5.00306675156938e-05 6.37818897008573e-12 0.96662422227847 2.4999999985542 2.49999999998544 0.0115452620813232 0.0116076725926729 0.0116790534077366 2.5003816237488 0.0116789919701238 2.49546825153432 0.0116790912407386 0.011679232553585 0.0116792325262314 0.0116792616290335
5.00306872049841e-05 4.09701252162833e-11 0.965639758539042 2.49999999961115 2.49999999998077 0.0112188673414662 0.01129866669485 0.0113803353325275 2.50052348954156 0.0113803263432365 2.49649453616647 0.0113804874071686 0.011380596701777 0.0113805967339165 0.0113806575327635
5.00307102840334e-05 -3.70959655062297e-11 0.964485804557411 2.49999999839096 2.49999999995628 0.0108360876101511 0.0109378628387655 0.0110186005726898 2.50061056335516 0.0110185285433171 2.497422486786 0.0110187520950773 0.0110188233352289 0.0110188233079773 0.011018888734353
5.00307386417993e-05 -4.89333295122891e-12 0.963067916987034 2.499999999511 2.49999999995304 0.0104108026376628 0.0105283173073868 0.0105936681118394 2.50056512717068 0.0105934314079898 2.49818062244436 0.0105936798700374 0.010593713651595 0.0105937136848215 0.0105937392592843
5.00307709943138e-05 -6.71216419569992e-11 0.961450289963333 2.49999999856397 2.49999999994524 0.0100452337130462 0.01015600656744 0.0101928485470709 2.50033105290996 0.0101924276811557 2.49862513328834 0.0101926529045541 0.0101926555106057 0.0101926554857228 0.0101926108848355
5.00308083727431e-05 -3.82542120251624e-13 0.959581369735082 2.5000000000485 2.49999999997123 0.00981842447332539 0.00989126512716103 0.00989474810315111 2.49994676156603 0.00989422950485684 2.49879032437584 0.00989441633938859 0.00989440453225486 0.00989440456735091 0.00989430066467473
5.00308526015661e-05 -2.73699937650921e-11 0.957369927849506 2.49999999931352 2.49999999998972 0.00975173756315109 0.0097700654961756 0.00975199493533832 2.49957342531157 0.00975159475606436 2.49883896734426 0.00975176376314546 0.00975174067127854 0.00975174064609597 0.00975162642314987
5.00309073081048e-05 4.98552242211923e-11 0.954634602337792 2.50000000057546 2.50000000001669 0.00972773377515189 0.00971493938567071 0.00970676752924928 2.49946000585459 0.00970680485927972 2.49903126781611 0.0097068502240868 0.00970682317856959 0.00970682321033687 0.00970686799654059
5.00309564323099e-05 -8.72357359958513e-12 0.952178390822459 2.49999999925794 2.5000000000014 0.00958491158470054 0.00958631770413153 0.00960570668875453 2.49963492182035 0.00960593662666812 2.49936230285804 0.0096059788654866 0.00960596135316452 0.00960596132471043 0.00960602261881477
5.00310127978145e-05 2.16736658888107e-11 0.949360116164737 2.50000000009972 2.49999999999072 0.00924980452290106 0.00928982782973724 0.00932977271992561 2.49984727740409 0.00933000238958396 2.4996867599899 0.00932999901633745 0.00932998388935108 0.00932998391965846 0.00933005118721862
5.00310684192584e-05 -4.87261210772868e-11 0.94657904232863 2.49999999892646 2.49999999997189 0.00890284143759855 0.00896043601426542 0.00899564968671775 2.49983695451848 0.00899567587164971 2.49974762688645 0.0089956515060189 0.00899564383157045 0.008995643803983 0.00899564497346327
5.0031129138649e-05 1.00121268131261e-11 0.943543073637065 2.50000000025494 2.49999999998929 0.00868738496650288 0.00872620846957852 0.00874256735684654 2.4996182891371 0.00874245004830227 2.49957413414278 0.00874241592706682 0.0087424100952211 0.00874241012699597 0.00874236156712911
5.00311949744035e-05 -2.64905305220442e-11 0.940251284713145 2.49999999935271 2.49999999999639 0.0086274657478046 0.00863426961876191 0.00864245734907706 2.49942913879224 0.00864240055508203 2.49940437223235 0.00864237024766645 0.00864236920394632 0.00864236917546623 0.00864233756909958
5.00312671575225e-05 3.34748648692719e-11 0.936642129627252 2.50000000046018 2.50000000000857 0.00855681885228104 0.00855866978683532 0.00857973478026689 2.49946495483575 0.00857986929930075 2.49944489425963 0.00857983822979345 0.00857983643842024 0.00857983646785548 0.00857986237332723
