Time	2kV
-66.6E-9	-0.0273835
-66.5E-9	0.00990567
-66.4E-9	-0.0505166
-66.3E-9	-0.0954018
-66.2E-9	0.0623868
-66.1E-9	-0.155824
-66.0E-9	-0.0418849
-65.9E-9	-0.0056315
-65.8E-9	-0.0474092
-65.7E-9	0.0834482
-65.6E-9	-0.0719234
-65.5E-9	-0.234546
-65.4E-9	-0.0878058
-65.3E-9	0.13662
-65.2E-9	-0.0525883
-65.1E-9	-0.173778
-65.0E-9	-0.0588031
-64.9E-9	-0.138906
-64.8E-9	-0.197947
-64.7E-9	0.00921513
-64.6E-9	-0.153752
-64.5E-9	-0.0491356
-64.4E-9	-0.00701258
-64.3E-9	0.12419
-64.2E-9	-0.0090842
-64.1E-9	-0.110939
-64.0E-9	-0.0443018
-63.9E-9	-0.0584579
-63.8E-9	-0.0377416
-63.7E-9	0.053755
-63.6E-9	-0.151681
-63.5E-9	-0.0491356
-63.4E-9	-0.142013
-63.3E-9	-0.20865
-63.2E-9	0.0568624
-63.1E-9	0.0506476
-63.0E-9	-0.231438
-62.9E-9	-0.00459569
-62.8E-9	-0.0480997
-62.7E-9	-0.144775
-62.6E-9	0.0185374
-62.5E-9	-0.030491
-62.4E-9	-0.324316
-62.3E-9	-0.0698518
-62.2E-9	-0.0142633
-62.1E-9	-0.217973
-62.0E-9	0.00541715
-61.9E-9	-0.294623
-61.8E-9	-0.186208
-61.7E-9	0.0710185
-61.6E-9	-0.0149538
-61.5E-9	-0.233855
-61.4E-9	-0.473818
-61.3E-9	0.108998
-61.2E-9	0.0520286
-61.1E-9	-0.159622
-61.0E-9	-0.168254
-60.9E-9	-0.0387774
-60.8E-9	-0.196221
-60.7E-9	-0.0933302
-60.6E-9	-0.0256572
-60.5E-9	-0.00597677
-60.4E-9	0.154919
-60.3E-9	0.0399442
-60.2E-9	-0.195875
-60.1E-9	-0.23351
-60.0E-9	0.00921513
-59.9E-9	0.0137036
-59.8E-9	0.0392536
-59.7E-9	0.0102509
-59.6E-9	-0.0888416
-59.5E-9	-0.146502
-59.4E-9	0.0395989
-59.3E-9	-0.232129
-59.2E-9	-0.0325626
-59.1E-9	0.0209543
-59.0E-9	-0.148573
-58.9E-9	-0.00355987
-58.8E-9	0.0209543
-58.7E-9	-0.0998903
-58.6E-9	0.168039
-58.5E-9	-0.0456829
-58.4E-9	-0.216592
-58.3E-9	-0.257679
-58.2E-9	-0.141668
-58.1E-9	-0.0746856
-58.0E-9	0.13662
-57.9E-9	-0.0197876
-57.8E-9	-0.274597
-57.7E-9	-0.299457
-57.6E-9	-0.171361
-57.5E-9	0.0102509
-57.4E-9	0.107962
-57.3E-9	-0.181719
-57.2E-9	-0.166182
-57.1E-9	-0.163075
-57.0E-9	-0.0933302
-56.9E-9	0.0827577
-56.8E-9	0.248142
-56.7E-9	-0.0487903
-56.6E-9	-0.0577673
-56.5E-9	-0.135453
-56.4E-9	-0.0232403
-56.3E-9	-0.0605295
-56.2E-9	-0.099545
-56.1E-9	-0.0784835
-56.0E-9	0.000928639
-55.9E-9	-0.159967
-55.8E-9	-0.190696
-55.7E-9	0.0375273
-55.6E-9	0.0820672
-55.5E-9	-0.122333
-55.4E-9	-0.130619
-55.3E-9	-0.117499
-55.2E-9	-0.212448
-55.1E-9	0.0323482
-55.0E-9	-0.043266
-54.9E-9	-0.00286933
-54.8E-9	0.153538
-54.7E-9	0.0613509
-54.6E-9	-0.101617
-54.5E-9	0.0354557
-54.4E-9	-0.208996
-54.3E-9	-0.0698518
-54.2E-9	-0.0632916
-54.1E-9	-0.0743403
-54.0E-9	-0.149609
-53.9E-9	-0.0132274
-53.8E-9	0.0855199
-53.7E-9	0.0202638
-53.6E-9	0.0506476
-53.5E-9	-0.0180612
-53.4E-9	-0.163765
-53.3E-9	0.0385631
-53.2E-9	-0.0360153
-53.1E-9	-0.0142633
-53.0E-9	-0.133727
-52.9E-9	-0.224188
-52.8E-9	-0.0653633
-52.7E-9	0.033384
-52.6E-9	-0.119225
-52.5E-9	-0.135108
-52.4E-9	0.0427063
-52.3E-9	-0.11232
-52.2E-9	0.0223354
-52.1E-9	0.131441
-52.0E-9	-0.0632916
-51.9E-9	-0.283229
-51.8E-9	0.0454685
-51.7E-9	0.168039
-51.6E-9	0.109689
-51.5E-9	0.106927
-51.4E-9	0.150776
-51.3E-9	-0.0909133
-51.2E-9	-0.0539693
-51.1E-9	0.0330388
-51.0E-9	0.0427063
-50.9E-9	0.0126678
-50.8E-9	-0.110594
-50.7E-9	-0.0798646
-50.6E-9	0.0430516
-50.5E-9	-0.110248
-50.4E-9	-0.154443
-50.3E-9	0.0869009
-50.2E-9	-0.201054
-50.1E-9	-0.120607
-50.0E-9	0.0503023
-49.9E-9	-0.148228
-49.8E-9	-0.057422
-49.7E-9	0.175635
-49.6E-9	-0.132691
-49.5E-9	0.00265499
-49.4E-9	-0.0998903
-49.3E-9	0.00507188
-49.2E-9	-0.144085
-49.1E-9	-0.0684707
-49.0E-9	-0.0947112
-48.9E-9	-0.00666731
-48.8E-9	0.0554813
-48.7E-9	-0.238689
-48.6E-9	-0.113701
-48.5E-9	0.0095604
-48.4E-9	0.142489
-48.3E-9	-0.104379
-48.2E-9	-0.355045
-48.1E-9	-0.234891
-48.0E-9	-0.124059
-47.9E-9	-0.00459569
-47.8E-9	0.127298
-47.7E-9	0.121428
-47.6E-9	-0.264584
-47.5E-9	-0.08677
-47.4E-9	0.0150847
-47.3E-9	-0.0819362
-47.2E-9	-0.0246214
-47.1E-9	-0.119571
-47.0E-9	-0.0684707
-46.9E-9	0.0071435
-46.8E-9	-0.0401585
-46.7E-9	0.0292408
-46.6E-9	0.0779239
-46.5E-9	-0.095747
-46.4E-9	-0.00528623
-46.3E-9	0.0420158
-46.2E-9	0.00265499
-46.1E-9	0.0979496
-46.0E-9	0.0482307
-45.9E-9	-0.0346342
-45.8E-9	-0.126476
-45.7E-9	-0.189661
-45.6E-9	-0.00494096
-45.5E-9	0.044778
-45.4E-9	0.13662
-45.3E-9	0.0865557
-45.2E-9	0.00990567
-45.1E-9	-0.240415
-45.0E-9	-0.0967829
-44.9E-9	-0.148919
-44.8E-9	-0.0184065
-44.7E-9	0.0813766
-44.6E-9	-0.129238
-44.5E-9	-0.0798646
-44.4E-9	-0.115427
-44.3E-9	-0.0467187
-44.2E-9	-0.0615653
-44.1E-9	-0.052243
-44.0E-9	-0.0567315
-43.9E-9	-0.219009
-43.8E-9	-0.3036
-43.7E-9	-0.187934
-43.6E-9	-0.121297
-43.5E-9	0.119702
-43.4E-9	-0.145121
-43.3E-9	-0.294277
-43.2E-9	-0.0342889
-43.1E-9	-0.00701258
-43.0E-9	-0.0543146
