time v(/Ch1)
1.95341995014637e-07 -0.596825224231364
1.95421995014637e-07 -0.596789539187426
1.95501995014637e-07 -0.596751923435855
1.95581995014637e-07 -0.596713815749716
1.95661995014637e-07 -0.596674254989384
1.95741995014637e-07 -0.596634017862954
1.95821995014637e-07 -0.596591258005841
1.95901995014637e-07 -0.596546162694449
1.95981995014637e-07 -0.596500119205303
1.96061995014637e-07 -0.596453177250857
1.96461995014637e-07 -0.596190411688912
1.96541995014637e-07 -0.596137017259102
1.96621995014637e-07 -0.596088627426288
1.96701995014637e-07 -0.59603839587486
1.96781995014637e-07 -0.5959818407968
1.97181995014637e-07 -0.595683869798127
1.97261995014637e-07 -0.595623168428573
1.97341995014637e-07 -0.595559833022794
1.97421995014637e-07 -0.595496836108153
1.97501995014637e-07 -0.595426575218612
1.97901995014637e-07 -0.595051431787946
1.97981995014637e-07 -0.594975205239906
1.98061995014637e-07 -0.594892536794833
1.98141995014637e-07 -0.594816652659067
1.98221995014637e-07 -0.594731946783992
1.98621995014637e-07 -0.59432496153027
1.98701995014637e-07 -0.594242998865517
1.98781995014637e-07 -0.594161792076961
1.99181995014637e-07 -0.593717102404875
1.99261995014637e-07 -0.593626420332176
1.99341995014637e-07 -0.593542269383164
1.99741995014637e-07 -0.593071648208175
1.99821995014637e-07 -0.592975092791738
1.99901995014637e-07 -0.592877386610207
2.00301995014637e-07 -0.592364412074789
2.00381995014637e-07 -0.592260037945492
2.00461995014637e-07 -0.592154339665883
2.00861995014637e-07 -0.591612021312139
2.00941995014637e-07 -0.591502192194837
2.01021995014637e-07 -0.59139010103664
2.01421995014637e-07 -0.590812094104055
2.01501995014637e-07 -0.590694861342115
2.01581995014637e-07 -0.59057385943274
2.01981995014637e-07 -0.589957532263062
2.03981995014637e-07 -0.586556744042541
2.04061995014637e-07 -0.586420110872815
2.04141995014637e-07 -0.586282247770933
2.04221995014637e-07 -0.586141268555307
2.04301995014637e-07 -0.585973867229497
2.04701995014637e-07 -0.585191394206055
2.06701995014637e-07 -0.581120137184694
2.06781995014637e-07 -0.580956868232242
2.06861995014637e-07 -0.580791990968411
2.07261995014637e-07 -0.579890065682752
2.09261995014637e-07 -0.57531965164353
2.1e-07 -0.573539826922283
2.10008e-07 -0.573520373339636
2.10011730140237e-07 -0.573511302765714
2.10014807801471e-07 -0.573503818823566
2.10017807289614e-07 -0.573496524974754
2.10020909792894e-07 -0.573488980624258
2.10023947362712e-07 -0.573481594172321
2.10027057939266e-07 -0.573474030190062
2.10027329267572e-07 -0.573473370401609
2.10028685909103e-07 -0.57347007145934
2.10030257349556e-07 -0.573466250191
2.10033117747465e-07 -0.573459294567608
2.10036939614956e-07 -0.573450000940721
2.10044007593257e-07 -0.573432813753216
2.10064627847589e-07 -0.573382671525486
2.10163745959943e-07 -0.573136794727633
2.10278628546552e-07 -0.572857639708856
2.10470735442471e-07 -0.57238763795724
2.10735013155849e-07 -0.571740947846795
2.11050360156342e-07 -0.570966937315163
2.11410901359126e-07 -0.570048450631525
2.11948562931351e-07 -0.568659100146595
2.12467549071308e-07 -0.567313948749417
2.13222772574637e-07 -0.565325550643026
2.14067910274317e-07 -0.563056315293053
2.15250933144634e-07 -0.559819712837147
2.16690938983351e-07 -0.556064078928351
2.16770938983351e-07 -0.555856221064767
2.16850938983351e-07 -0.555625026886721
2.16930938983351e-07 -0.555464925295545
2.17010938983351e-07 -0.555629358297651
2.17090938983351e-07 -0.555791373771242
2.17170938983351e-07 -0.555798574387359
2.17250938983351e-07 -0.55581744275495
2.17330938983351e-07 -0.556052377955016
2.17410938983351e-07 -0.556434132608048
2.17490938983351e-07 -0.556740476349502
2.17570938983351e-07 -0.556986394591906
2.17650938983351e-07 -0.557208090327617
2.17730938983351e-07 -0.557255741035399
2.17810938983351e-07 -0.557345462241794
2.17890938983351e-07 -0.557485057003169
2.17970938983351e-07 -0.557626251307164
2.18050938983351e-07 -0.557748663564507
2.18130938983351e-07 -0.557816039214961
2.18210938983351e-07 -0.55735842756151
2.18290938983351e-07 -0.556175036418995
2.18370938983351e-07 -0.555664195589284
2.18450938983351e-07 -0.555284284152225
2.18530938983351e-07 -0.554688422064302
2.18610938983351e-07 -0.554129897320533
2.18690938983351e-07 -0.553280283973195
2.18770938983351e-07 -0.551811527723422
2.19170938983351e-07 -0.546117176228636
2.19250938983351e-07 -0.545018039781637
2.19320938983351e-07 -0.544036199208126
2.19400938983351e-07 -0.542928254806177
2.19480938983351e-07 -0.542039989754107
2.19560938983351e-07 -0.54207986189653
2.19640938983351e-07 -0.541813946675019
2.19720938983351e-07 -0.541283447386554
2.19800938983351e-07 -0.540755377735527
2.19880938983351e-07 -0.540309129803193
2.19960938983351e-07 -0.539889480730881
2.20040938983351e-07 -0.539440583024327
2.20120938983351e-07 -0.538981405845961
2.20200938983351e-07 -0.538520325598311
2.20280938983351e-07 -0.538168014778907
2.20360938983351e-07 -0.538650655799569
2.20440938983351e-07 -0.539475226228245
2.20520938983351e-07 -0.539880975655518
2.20600938983351e-07 -0.540021629851258
2.20680938983351e-07 -0.540153473506294
2.20760938983351e-07 -0.540374793434291
2.20840938983351e-07 -0.540594006368276
2.20920938983351e-07 -0.540744697996629
2.21000938983351e-07 -0.540894963848917
2.21080938983351e-07 -0.54106373636317
2.21160938983351e-07 -0.54124543355287
2.21240938983351e-07 -0.541484000115385
2.21320938983351e-07 -0.541829520496205
2.21400938983351e-07 -0.542203811263931
2.21480938983351e-07 -0.542430048109174
2.21560938983351e-07 -0.541881711868497
2.21640938983351e-07 -0.541369382750195
2.21720938983351e-07 -0.541159572214862
2.21800938983351e-07 -0.541237892614505
2.21880938983351e-07 -0.54153519215001
2.21960938983351e-07 -0.541810295762338
2.22040938983351e-07 -0.541942163415436
2.22120938983351e-07 -0.541969206722037
2.22200938983351e-07 -0.541919972715941
2.22280938983351e-07 -0.541953132935579
2.22360938983351e-07 -0.54225486644212
2.22440938983351e-07 -0.542678031333055
2.22520938983351e-07 -0.542984005634852
2.22600938983351e-07 -0.543137679456604
2.22680938983351e-07 -0.5431822382691
2.22760938983351e-07 -0.543229273367943
2.22840938983351e-07 -0.543327785438242
2.22920938983351e-07 -0.543254430592455
2.23000938983351e-07 -0.541921249870943
2.23080938983351e-07 -0.54081399672024
2.23160938983351e-07 -0.540000634756952
2.23240938983351e-07 -0.539093522442359
2.23320938983351e-07 -0.538388913726085
2.23400938983351e-07 -0.537820433405525
2.23480938983351e-07 -0.537515280638662
2.23560938983351e-07 -0.537187685656939
2.23640938983351e-07 -0.536850477859746
2.23720938983351e-07 -0.536639096608555
2.23800938983351e-07 -0.536484457407892
2.23880938983351e-07 -0.53619008635366
2.23960938983351e-07 -0.535579938254792
2.24040938983351e-07 -0.534825286745705
2.24120938983351e-07 -0.534176057981537
2.24200938983351e-07 -0.533688359468298
2.24280938983351e-07 -0.533316276183186
2.24360938983351e-07 -0.532981927455843
2.24440938983351e-07 -0.532604658692151
2.24840938983351e-07 -0.530254239278708
2.24920938983351e-07 -0.529772892443355
2.25000938983351e-07 -0.529253033326076
2.25080938983351e-07 -0.528835129684638
2.25160938983351e-07 -0.52867470260613
2.25240938983351e-07 -0.52866543881371
2.25320938983351e-07 -0.528560248715649
2.25400938983351e-07 -0.528367964441965
2.25480938983351e-07 -0.528041667281784
2.25560938983351e-07 -0.527775893873335
2.25640938983351e-07 -0.527521177843265
2.25720938983351e-07 -0.527289259782127
2.25800938983351e-07 -0.527084146210557
2.25880938983351e-07 -0.526899258437835
2.25960938983351e-07 -0.526751118797729
