Measurement report of dcv_sheet_cz_regu_v2,,,,
Generated by DesCoVer 2.6.0,,,,
Date,2016-11-22 03:08:58 -0600,Author,b48923,
,,,,
,,,,
Testbench: LIB: esd_sm8mvLib - CELL: wunchbell_patrice - VIEW: schematic_cz_regu - Tue Nov 22 03:09:07 CST 2016,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
risetime=100p start=12u ,,,,
,,,,
,,,,
amplitude,length,nominal,min_v2p5,width_2p5(s)
-0.6,3.29034E-006,2.5032,1.99384,5.46314E-007
-0.6,3.85662E-006,2.5032,1.92014,6.25267E-007
-0.6,4.52035E-006,2.5032,1.83742,7.29863E-007
-0.6,5.29832E-006,2.5032,1.74517,8.52402E-007
-0.6,6.21017E-006,2.5032,1.6415,0.00000099
-0.6,0.000007279,2.5032,1.52883,1.17463E-006
-0.6,8.53168E-006,2.5032,1.40625,1.40691E-006
-0.6,0.00001,2.5032,1.27491,1.66168E-006
-0.7,0.0000001,2.5032,2.4288,1.83615E-007
-0.7,1.1721E-007,2.5032,2.42401,1.78312E-007
-0.7,1.37382E-007,2.5032,2.4192,1.83527E-007
-0.7,0.000000161,2.5032,2.41369,1.79442E-007
-0.7,1.88739E-007,2.5032,2.40739,1.80495E-007
-0.7,2.21222E-007,2.5032,2.4011,1.97146E-007
-0.7,2.59294E-007,2.5032,2.39386,2.00245E-007
-0.7,3.0392E-007,2.5032,2.38577,2.02795E-007
-0.7,3.56225E-007,2.5032,2.37672,0.000000209
-0.7,4.17532E-007,2.5032,2.3673,0.000000215
-0.7,4.8939E-007,2.5032,2.35676,2.25133E-007
-0.7,5.73615E-007,2.5032,2.34485,2.35427E-007
-0.7,6.72336E-007,2.5032,2.33164,0.000000244
-0.7,0.000000788,2.5032,2.3162,2.56876E-007
-0.7,9.23671E-007,2.5032,2.29862,2.66695E-007
-0.7,1.08264E-006,2.5032,2.27853,2.83082E-007
-0.7,0.000001269,2.5032,2.25532,3.09266E-007
-0.7,1.48735E-006,2.5032,2.22759,3.28292E-007
-0.7,1.74333E-006,2.5032,2.1945,3.50873E-007
-0.7,2.04336E-006,2.5032,2.15556,3.85576E-007
-0.7,0.000002395,2.5032,2.10941,4.27319E-007
-0.7,2.80722E-006,2.5032,2.05502,4.81188E-007
-0.7,3.29034E-006,2.5032,1.99157,0.000000545
-0.7,3.85662E-006,2.5032,1.91894,6.30317E-007
-0.7,4.52035E-006,2.5032,1.83614,7.28404E-007
-0.7,5.29832E-006,2.5032,1.74325,0.00000085
-0.7,6.21017E-006,2.5032,1.64081,1.00532E-006
-0.7,0.000007279,2.5032,1.52769,1.17424E-006
-0.7,8.53168E-006,2.5032,1.40505,1.38544E-006
