XXXX,,,,
Generated by XXXX,,,,
XXXX
,,,,
,,,,
XXXX,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
risetime=100p start=5u load=1M ,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
delay=5u ,,,,
,,,,
,,,,
amplitude,length,nominal,min_vclamp9,width(s)
-12,4.8939E-007,8.0217,-1.0032,4.89399E-007
-12,0.000000621,8.0217,-1.0032,0.000000621
-12,0.000000788,8.0217,-1.0032,7.88054E-007
-12,0.000001,8.0217,-1.0032,0.000001
-14,0.000000001,8.0217,-1.51198,0.000000001
-14,1.26896E-009,8.0217,-1.51198,1.28913E-009
-14,1.61026E-009,8.0217,-1.51198,1.62976E-009
-14,0.000000002,8.0217,-1.51198,2.06265E-009
-14,2.59294E-009,8.0217,-1.51198,2.61239E-009
-14,3.29034E-009,8.0217,-1.51198,3.31006E-009
-14,4.17532E-009,8.0217,-1.51198,4.19536E-009
-14,5.29832E-009,8.0217,-1.51198,5.3187E-009
-14,6.72336E-009,8.0217,-1.51198,6.74403E-009
-14,8.53168E-009,8.0217,-1.51198,8.55264E-009
-14,1.08264E-008,8.0217,-1.51198,1.08476E-008
-14,1.37382E-008,8.0217,-1.51198,1.37597E-008
-14,1.74333E-008,8.0217,-1.51198,1.74548E-008
-14,2.21222E-008,8.0217,-1.51198,2.21438E-008
-14,2.80722E-008,8.0217,-1.51198,2.80941E-008
-14,3.56225E-008,8.0217,-1.51198,3.56447E-008
-14,4.52035E-008,8.0217,-1.51198,4.5226E-008
-14,5.73615E-008,8.0217,-1.51198,5.73842E-008
-14,7.27895E-008,8.0217,-1.51198,7.28125E-008
-14,9.23671E-008,8.0217,-1.51198,9.23902E-008
-14,1.1721E-007,8.0217,-1.51198,1.17234E-007
-14,1.48735E-007,8.0217,-1.51198,6.29707E-007
-14,1.88739E-007,8.0217,-1.51198,6.86687E-007
-14,2.39503E-007,8.0217,-1.51198,7.51319E-007
-14,3.0392E-007,8.0217,-1.51198,8.22375E-007
-14,3.85662E-007,8.0217,-1.51198,9.11229E-007
-14,4.8939E-007,8.0217,-1.51198,1.01989E-006
-14,0.000000621,8.0217,-1.51198,1.15837E-006
-14,0.000000788,8.0217,-1.51198,1.33079E-006
-14,0.000001,8.0217,-1.51198,1.54879E-006
-16,0.000000001,8.0217,-1.92538,0.000000001
-16,1.26896E-009,8.0217,-1.92538,1.28436E-009
-16,1.61026E-009,8.0217,-1.92538,1.62591E-009
-16,0.000000002,8.0217,-1.92538,2.05926E-009
-16,2.59294E-009,8.0217,-1.92538,2.60911E-009
-16,3.29034E-009,8.0217,-1.92538,3.30677E-009
-16,4.17532E-009,8.0217,-1.92538,4.19202E-009
-16,5.29832E-009,8.0217,-1.92538,5.31529E-009
-16,6.72336E-009,8.0217,-1.92538,6.74061E-009
-16,8.53168E-009,8.0217,-1.92538,8.54921E-009
-16,1.08264E-008,8.0217,-1.92538,1.08442E-008
-16,1.37382E-008,8.0217,-1.92538,1.37563E-008
-16,1.74333E-008,8.0217,-1.92538,1.74516E-008
-16,2.21222E-008,8.0217,-1.92538,2.21407E-008
-16,2.80722E-008,8.0217,-1.92538,2.8091E-008
-16,3.56225E-008,8.0217,-1.92538,3.56416E-008
-16,4.52035E-008,8.0217,-1.92538,4.52229E-008
-16,5.73615E-008,8.0217,-1.92538,5.73812E-008
-16,7.27895E-008,8.0217,-1.92538,7.28095E-008
-16,9.23671E-008,8.0217,-1.92538,9.23873E-008
-16,1.1721E-007,8.0217,-1.92538,1.17231E-007
-16,1.48735E-007,8.0217,-1.92538,1.48756E-007
-16,1.88739E-007,8.0217,-1.92538,1.8876E-007
-16,2.39503E-007,8.0217,-1.92538,2.39524E-007
-16,3.0392E-007,8.0217,-1.92538,3.03941E-007
-16,3.85662E-007,8.0217,-1.92538,3.85684E-007
-16,4.8939E-007,8.0217,-1.92538,4.89412E-007
-16,0.000000621,8.0217,-1.92538,0.000000621
-16,0.000000788,8.0217,-1.92538,7.88069E-007
-16,0.000001,8.0217,-1.92538,0.000001
-18,0.000000001,8.0217,-2.10538,0.000000001
-18,1.26896E-009,8.0217,-2.10538,1.29309E-009
-18,1.61026E-009,8.0217,-2.10538,1.63462E-009
-18,0.000000002,8.0217,-2.10538,2.06796E-009
-18,2.59294E-009,8.0217,-2.10538,2.61778E-009
-18,3.29034E-009,8.0217,-2.10538,3.31544E-009
