Measurement report of dcv_sheet_total_v2,,,,,,
Generated by DesCoVer 2.6.0,,,,,,
Date,2017-03-04 03:02:25 -0600,Author,b48923,,,
,,,,,,
,,,,,,
Testbench: LIB: esd_sm8mvLib - CELL: wunchbell_patrice - VIEW: schematic_total - Sat Mar 04 03:02:28 CST 2017,,,,,,
,,,,,,
,,,,,,
Setup: Parameters or device casing alteration,,,,,,
Err:510,,,,,,
risetime=1n start=45u ,,,,,,
,,,,,,
,,,,,,
amplitude,length,time,vin,v2p5,vclamp9,v1p0
-20,0.0000001,4.44602E-007,5.30352,0.000950219,0.483016,0.0134805
-20,0.0000001,4.44888E-007,5.30676,0.000972378,0.495815,0.0141259
-20,0.0000001,4.45452E-007,5.31384,0.000966879,0.52221,0.0143174
-20,0.0000001,4.45911E-007,5.31921,0.000967988,0.543216,0.0147477
-20,0.0000001,4.46439E-007,5.32577,0.000966958,0.568008,0.0150848
-20,0.0000001,4.47141E-007,5.33414,0.000972089,0.600511,0.0155581
-20,0.0000001,0.000000448,5.34429,0.000969739,0.639354,0.0161554
-20,0.0000001,4.49085E-007,5.3577,0.000974081,0.691489,0.0168473
-20,0.0000001,4.50605E-007,5.37623,0.000975009,0.763106,0.0178889
-20,0.0000001,4.52687E-007,5.40138,0.00097934,0.861179,0.0191145
-20,0.0000001,4.55646E-007,5.43739,0.000982999,1.00158,0.0209153
-20,0.0000001,4.5985E-007,5.48839,0.000990064,1.20194,0.0231164
-20,0.0000001,4.61363E-007,5.50687,0.000991821,1.2745,0.0239566
-20,0.0000001,4.64387E-007,5.54355,0.000997097,1.41927,0.0253373
-20,0.0000001,4.65226E-007,5.55382,0.000997603,1.45954,0.0258042
-20,0.0000001,4.66902E-007,5.57408,0.00100132,1.53934,0.0264698
-20,0.0000001,4.68438E-007,5.59279,0.0010024,1.61229,0.0272112
-20,0.0000001,4.68627E-007,5.59501,0.00100415,1.62108,0.0271993
-20,0.0000001,0.000000469,5.59965,0.00100354,1.63901,0.0274433
-20,0.0000001,4.69688E-007,5.60793,0.00100551,1.67139,0.0276348
-20,0.0000001,4.70297E-007,5.61537,0.00100545,1.70031,0.0279641
-20,0.0000001,4.71283E-007,5.62729,0.00100812,1.74674,0.028268
-20,0.0000001,4.71776E-007,5.63329,0.00100771,1.76999,0.0285378
-20,0.0000001,4.72761E-007,5.64518,0.00101034,1.81602,0.0288321
-20,0.0000001,4.73888E-007,5.65884,0.00101111,1.86843,0.0293158
-20,0.0000001,4.7426E-007,5.66331,0.00101259,1.88557,0.0293751
-20,0.0000001,0.000000475,5.67235,0.00101289,1.91998,0.0296999
-20,0.0000001,4.75752E-007,5.6814,0.00101492,1.95447,0.0298857
-20,0.0000001,4.76762E-007,5.69365,0.00101561,2.00096,0.0302783
-20,0.0000001,4.77722E-007,5.70529,0.00101798,2.04499,0.0305185
-20,0.0000001,4.78462E-007,5.71429,0.00101831,2.07899,0.030806
-20,0.0000001,4.79349E-007,5.72504,0.00102041,2.11963,0.0310181
-20,0.0000001,4.80241E-007,5.73588,0.00102113,2.16056,0.0313406
-20,0.0000001,4.8132E-007,5.74895,0.00102342,2.20985,0.0316013
-20,0.0000001,4.82894E-007,5.76804,0.00102524,2.28158,0.032097
-20,0.0000001,4.85197E-007,5.79594,0.0010294,2.38577,0.0326567
-20,0.0000001,4.88339E-007,5.83401,0.00103364,2.52664,0.0334759
-20,0.0000001,4.92554E-007,5.88504,0.00104071,2.7129,0.0343388
-20,0.0000001,4.98409E-007,5.95591,0.00104907,2.96651,0.0354542
-20,0.0000001,5.06572E-007,6.05462,0.00106199,3.30949,0.0365154
-20,0.0000001,5.13522E-007,6.13864,0.00107192,3.59173,0.0372154
-20,0.0000001,5.2389E-007,6.2639,0.00108806,3.99551,0.0377177
-20,0.0000001,5.32486E-007,6.36774,0.0011003,4.31412,0.0378766
-20,0.0000001,5.36784E-007,6.41963,0.0011072,4.46761,0.0377713
-20,0.0000001,5.4538E-007,6.52338,0.00111947,4.76232,0.0375017
-20,0.0000001,5.47531E-007,6.54933,0.00112252,4.83342,0.0373332
-20,0.0000001,5.48607E-007,6.56232,0.0011249,4.86867,0.0373181
-20,0.0000001,5.50758E-007,6.58826,0.00112549,4.93832,0.037136
-20,0.0000001,5.51789E-007,6.60071,0.00112995,4.97143,0.0371158
-20,0.0000001,5.53851E-007,6.62557,0.00112911,5.03688,0.0369283
-20,0.0000001,0.000000558,6.67528,0.00113889,5.16542,0.0366512
-20,0.0000001,5.59077E-007,6.68855,0.00113672,5.1992,0.0365064
-20,0.0000001,5.61282E-007,6.71511,0.0011448,5.26629,0.0363418
-20,0.0000001,5.62208E-007,6.72625,0.00114075,5.2942,0.0362071
-20,0.0000001,5.6406E-007,6.74855,0.00114927,5.34979,0.0360619
-20,0.0000001,5.67764E-007,6.79311,0.00114904,5.45945,0.035626
-20,0.0000001,5.73181E-007,6.85821,0.00116229,5.6173,0.0350816
-20,0.0000001,5.74836E-007,6.87808,0.00115967,5.66506,0.0348632
-20,0.0000001,5.78145E-007,6.91784,0.00116857,5.76028,0.0345513
-20,0.0000001,5.84764E-007,6.99731,0.00117391,5.94917,0.0338171
-20,0.0000001,5.93517E-007,7.10236,0.00118973,6.19637,0.0329564
-20,0.0000001,5.96537E-007,7.13857,0.00119074,6.28096,0.0326112
-20,0.0000001,6.02575E-007,7.21101,0.00120194,6.44939,0.0320521
-20,0.0000001,6.11617E-007,7.31943,0.00121212,6.69879,0.0311793
-20,0.0000001,6.21096E-007,7.43309,0.00122787,6.95615,0.030631
-20,0.0000001,6.24354E-007,7.47217,0.0012306,7.04341,0.030524
-20,0.0000001,6.30868E-007,7.55041,0.00124168,7.21505,0.0308096
-20,0.0000001,6.37779E-007,7.63364,0.00125077,7.38951,0.0316485
-20,0.0000001,6.45272E-007,7.72439,0.00126372,7.56068,0.0333367
-20,0.0000001,0.000000653,7.81792,0.00127315,7.70757,0.03572
-20,0.0000001,0.000000661,7.91456,0.00128531,7.83363,0.0393197
-20,0.0000001,6.68584E-007,8.00619,0.00129661,7.93987,0.045352
-20,0.0000001,6.78832E-007,8.12907,0.00131267,8.074,0.0598433
-20,0.0000001,6.81636E-007,8.1626,0.00131503,8.10946,0.0638179
-20,0.0000001,0.000000683,8.17928,0.00131993,8.1269,0.0656167
-20,0.0000001,6.85843E-007,8.21189,0.00131992,8.15906,0.068453
-20,0.0000001,6.87898E-007,8.23449,0.00132622,8.17798,0.069923
-20,0.0000001,6.89676E-007,8.25243,0.00132493,8.18807,0.0706709
-20,0.0000001,6.91334E-007,8.26725,0.00132851,8.18967,0.0710296
-20,0.0000001,6.92896E-007,8.27879,0.00132687,8.18115,0.0708909
-20,0.0000001,6.94209E-007,8.286,0.00132634,8.16354,0.070529
-20,0.0000001,6.95399E-007,8.29009,0.00132483,8.13629,0.0698911
-20,0.0000001,6.96727E-007,8.29306,0.00132255,8.09311,0.0691557
-20,0.0000001,6.97708E-007,8.29612,0.00132358,8.05603,0.0686431
-20,0.0000001,6.98484E-007,8.30001,0.00132301,8.02725,0.0684159
-20,0.0000001,6.99352E-007,8.30587,0.00132473,7.99812,0.0681969
-20,0.0000001,7.00586E-007,8.31619,0.00132751,7.96461,0.0681095
-20,0.0000001,7.01615E-007,8.32601,0.00133109,7.94403,0.0680569
-20,0.0000001,7.02801E-007,8.33815,0.00133539,7.92797,0.0681056
-20,0.0000001,7.0413E-007,8.35238,0.00134089,7.91783,0.0681125
-20,0.0000001,7.05858E-007,8.37146,0.00134672,7.91387,0.0681999
-20,0.0000001,7.08132E-007,8.397,0.00135383,7.91845,0.0682419
