Measurement report of XXX,,,,
Generated by XXXX,,,,
Date,XXXX,
,,,,
,,,,
Testbench: XXX,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
risetime=100p start=12u ,,,,
,,,,
,,,,
amplitude,length,nominal,min_v2p5,width_2p5(s)
-0.2,0.000002395,2.50308,2.1228,0.000000408
-0.2,2.80722E-006,2.50308,2.06608,4.63243E-007
-0.2,3.29034E-006,2.50308,2.00351,5.2972E-007
-0.2,3.85662E-006,2.50308,1.95997,7.30312E-007
-0.2,4.52035E-006,2.50308,1.95997,1.37127E-006
-0.2,5.29832E-006,2.50308,1.95997,2.12293E-006
-0.2,6.21017E-006,2.50308,1.95997,0.000003017
-0.2,0.000007279,2.50308,1.95997,4.07739E-006
-0.2,8.53168E-006,2.50308,1.95997,-9.28508E-006
-0.2,0.00001,2.50308,1.95997,-9.28508E-006
-0.3,0.0000001,2.50308,2.44634,1.61475E-007
-0.3,1.1721E-007,2.50308,2.44252,1.61655E-007
-0.3,1.37382E-007,2.50308,2.43852,1.62793E-007
-0.3,0.000000161,2.50308,2.4344,1.65493E-007
-0.3,1.88739E-007,2.50308,2.42979,1.68617E-007
-0.3,2.21222E-007,2.50308,2.42468,1.73763E-007
-0.3,2.59294E-007,2.50308,2.41886,1.77789E-007
-0.3,3.0392E-007,2.50308,2.41192,1.81853E-007
-0.3,3.56225E-007,2.50308,2.4043,0.000000188
-0.3,4.17532E-007,2.50308,2.39544,1.91652E-007
-0.3,4.8939E-007,2.50308,2.38571,0.000000203
-0.3,5.73615E-007,2.50308,2.37432,2.10886E-007
-0.3,6.72336E-007,2.50308,2.36057,2.17877E-007
-0.3,0.000000788,2.50308,2.34522,2.30295E-007
-0.3,9.23671E-007,2.50308,2.32661,2.41602E-007
-0.3,1.08264E-006,2.50308,2.30495,2.58655E-007
-0.3,0.000001269,2.50308,2.27917,2.77647E-007
-0.3,1.48735E-006,2.50308,2.24835,3.0006E-007
-0.3,1.74333E-006,2.50308,2.21196,3.28624E-007
-0.3,2.04336E-006,2.50308,2.16964,3.66509E-007
-0.3,0.000002395,2.50308,2.12007,4.10359E-007
-0.3,2.80722E-006,2.50308,2.06333,4.67486E-007
-0.3,3.29034E-006,2.50308,1.99863,5.40661E-007
-0.3,3.85662E-006,2.50308,1.9249,6.25116E-007
-0.3,4.52035E-006,2.50308,1.84175,7.22453E-007
-0.3,5.29832E-006,2.50308,1.75164,8.45146E-007
-0.3,6.21017E-006,2.50308,1.70891,1.34505E-006
-0.3,0.000007279,2.50308,1.70891,2.38774E-006
-0.3,8.53168E-006,2.50308,1.70891,-1.18801E-005
-0.3,0.00001,2.50308,1.70891,-1.18801E-005
-0.4,0.0000001,2.50308,2.44174,1.66092E-007
-0.4,1.1721E-007,2.50308,2.43769,1.68378E-007
-0.4,1.37382E-007,2.50308,2.43353,1.6763E-007
-0.4,0.000000161,2.50308,2.42921,1.7543E-007
-0.4,1.88739E-007,2.50308,2.42402,1.7346E-007
-0.4,2.21222E-007,2.50308,2.41834,1.7817E-007
-0.4,2.59294E-007,2.50308,2.412,1.80609E-007
-0.4,3.0392E-007,2.50308,2.40504,0.000000189
-0.4,3.56225E-007,2.50308,2.39721,1.95086E-007
-0.4,4.17532E-007,2.50308,2.38817,1.99303E-007
