Measurement report of XXXX,,,,
Generated by XXXX,,,
Date,2016-11-16 03:24:50 -0600,Author,XXXX,
,,,,
,,,,
XXXX,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
risetime=100p start=6u ,,,,
,,,,
,,,,
amplitude,length,nominal,min_1p0,width_1p0(s)
-7,8.53168E-008,1.0225,-0.14574,2.76855E-011
-7,1.08264E-007,1.0225,-0.14574,2.76855E-011
-7,1.37382E-007,1.0225,-0.14574,2.76855E-011
-7,1.74333E-007,1.0225,-0.14574,2.76855E-011
-7,2.21222E-007,1.0225,-0.14574,2.76855E-011
-7,2.80722E-007,1.0225,-0.14574,2.76855E-011
-7,3.56225E-007,1.0225,-0.14574,2.76855E-011
-7,0.000000452,1.0225,-0.14574,2.76855E-011
-7,5.73615E-007,1.0225,-0.14574,2.76855E-011
-7,7.27895E-007,1.0225,-0.14574,2.76855E-011
-7,9.23671E-007,1.0225,-0.14574,2.76855E-011
-7,1.1721E-006,1.0225,-0.14574,2.76855E-011
-7,1.48735E-006,1.0225,-0.14574,2.76855E-011
-7,1.88739E-006,1.0225,-0.14574,2.76855E-011
-7,0.000002395,1.0225,-0.14574,2.76855E-011
-7,3.0392E-006,1.0225,-0.14574,2.76855E-011
-7,3.85662E-006,1.0225,-0.14574,2.76855E-011
-7,4.8939E-006,1.0225,-0.14574,2.76855E-011
-7,6.21017E-006,1.0225,-0.14574,2.76855E-011
-7,7.88046E-006,1.0225,-0.14574,2.76855E-011
-7,0.00001,1.0225,-0.14574,2.76855E-011
-8,0.00000001,1.0225,-0.314313,2.75911E-011
-8,1.26896E-008,1.0225,-0.314313,2.75911E-011
-8,1.61026E-008,1.0225,-0.314313,2.75911E-011
-8,2.04336E-008,1.0225,-0.314313,2.75911E-011
-8,2.59294E-008,1.0225,-0.314313,2.75911E-011
-8,3.29034E-008,1.0225,-0.314313,2.75911E-011
-8,4.17532E-008,1.0225,-0.314313,2.75911E-011
-8,0.000000053,1.0225,-0.314313,2.75911E-011
-8,6.72336E-008,1.0225,-0.314313,2.75911E-011
-8,8.53168E-008,1.0225,-0.314313,2.75911E-011
-8,1.08264E-007,1.0225,-0.314313,2.75911E-011
-8,1.37382E-007,1.0225,-0.314313,2.75911E-011
-8,1.74333E-007,1.0225,-0.314313,2.75911E-011
-8,2.21222E-007,1.0225,-0.314313,2.75911E-011
-8,2.80722E-007,1.0225,-0.314313,2.75911E-011
-8,3.56225E-007,1.0225,-0.314313,2.75911E-011
-8,0.000000452,1.0225,-0.314313,2.75911E-011
-8,5.73615E-007,1.0225,-0.314313,2.75911E-011
-8,7.27895E-007,1.0225,-0.314313,2.75911E-011
-8,9.23671E-007,1.0225,-0.314313,2.75911E-011
-8,1.1721E-006,1.0225,-0.314313,2.75911E-011
-8,1.48735E-006,1.0225,-0.314313,2.75911E-011
-8,1.88739E-006,1.0225,-0.314313,2.75911E-011
-8,0.000002395,1.0225,-0.314313,2.75911E-011
-8,3.0392E-006,1.0225,-0.314313,2.75911E-011
-8,3.85662E-006,1.0225,-0.314313,2.75911E-011
-8,4.8939E-006,1.0225,-0.314313,2.75911E-011
-8,6.21017E-006,1.0225,-0.314313,2.75911E-011
-8,7.88046E-006,1.0225,-0.314313,2.75911E-011
-8,0.00001,1.0225,-0.314313,2.75911E-011
-9,0.00000001,1.0225,-0.483839,2.75776E-011
-9,1.26896E-008,1.0225,-0.483839,2.75776E-011
-9,1.61026E-008,1.0225,-0.483839,2.75776E-011
-9,2.04336E-008,1.0225,-0.483839,2.75776E-011
-9,2.59294E-008,1.0225,-0.483839,2.75776E-011
-9,3.29034E-008,1.0225,-0.483839,2.75776E-011
-9,4.17532E-008,1.0225,-0.483839,2.75776E-011
-9,0.000000053,1.0225,-0.483839,2.75776E-011
-9,6.72336E-008,1.0225,-0.483839,2.75776E-011
-9,8.53168E-008,1.0225,-0.483839,2.75776E-011
-9,1.08264E-007,1.0225,-0.483839,2.75776E-011
-9,1.37382E-007,1.0225,-0.483839,2.75776E-011
-9,1.74333E-007,1.0225,-0.483839,2.75776E-011
-9,2.21222E-007,1.0225,-0.483839,2.75776E-011
-9,2.80722E-007,1.0225,-0.483839,2.75776E-011
-9,3.56225E-007,1.0225,-0.483839,2.75776E-011
-9,0.000000452,1.0225,-0.483839,2.75776E-011
-9,5.73615E-007,1.0225,-0.483839,2.75776E-011
-9,7.27895E-007,1.0225,-0.483839,2.75776E-011
-9,9.23671E-007,1.0225,-0.483839,2.75776E-011
-9,1.1721E-006,1.0225,-0.483839,2.75776E-011
-9,1.48735E-006,1.0225,-0.483839,2.75776E-011
-9,1.88739E-006,1.0225,-0.483839,2.75776E-011
-9,0.000002395,1.0225,-0.483839,2.75776E-011
-9,3.0392E-006,1.0225,-0.483839,2.75776E-011
-9,3.85662E-006,1.0225,-0.483839,2.75776E-011
-9,4.8939E-006,1.0225,-0.483839,2.75776E-011
-9,6.21017E-006,1.0225,-0.483839,2.75776E-011
-9,7.88046E-006,1.0225,-0.483839,2.75776E-011
-9,0.00001,1.0225,-0.483839,2.75776E-011
-10,0.00000001,1.0225,-0.655139,2.73465E-011
-10,1.26896E-008,1.0225,-0.655139,2.73465E-011
-10,1.61026E-008,1.0225,-0.655139,2.73465E-011
-10,2.04336E-008,1.0225,-0.655139,2.73465E-011
-10,2.59294E-008,1.0225,-0.655139,2.73465E-011
-10,3.29034E-008,1.0225,-0.655139,2.73465E-011
-10,4.17532E-008,1.0225,-0.655139,2.73465E-011
-10,0.000000053,1.0225,-0.655139,2.73465E-011
-10,6.72336E-008,1.0225,-0.655139,2.73465E-011
-10,8.53168E-008,1.0225,-0.655139,2.73465E-011
-10,1.08264E-007,1.0225,-0.655139,2.73465E-011
-10,1.37382E-007,1.0225,-0.655139,2.73465E-011
-10,1.74333E-007,1.0225,-0.655139,2.73465E-011
-10,2.21222E-007,1.0225,-0.655139,2.73465E-011
-10,2.80722E-007,1.0225,-0.655139,2.73465E-011
-10,3.56225E-007,1.0225,-0.655139,2.73465E-011
-10,0.000000452,1.0225,-0.655139,2.73465E-011
-10,5.73615E-007,1.0225,-0.655139,2.73465E-011
-10,7.27895E-007,1.0225,-0.655139,2.73465E-011
-10,9.23671E-007,1.0225,-0.655139,2.73465E-011
-10,1.1721E-006,1.0225,-0.655139,2.73465E-011
-10,1.48735E-006,1.0225,-0.655139,2.73465E-011
-10,1.88739E-006,1.0225,-0.655139,2.73465E-011
-10,0.000002395,1.0225,-0.655139,2.73465E-011
-10,3.0392E-006,1.0225,-0.655139,2.73465E-011
-10,3.85662E-006,1.0225,-0.655139,2.73465E-011
-10,4.8939E-006,1.0225,-0.655139,2.73465E-011
-10,6.21017E-006,1.0225,-0.655139,2.73465E-011
-10,7.88046E-006,1.0225,-0.655139,2.73465E-011
-10,0.00001,1.0225,-0.655139,2.73465E-011
-11,0.00000001,1.0225,-0.828291,2.71736E-011
-11,1.26896E-008,1.0225,-0.828291,2.71736E-011
-11,1.61026E-008,1.0225,-0.828291,2.71736E-011
-11,2.04336E-008,1.0225,-0.828291,2.71736E-011
-11,2.59294E-008,1.0225,-0.828291,2.71736E-011
-11,3.29034E-008,1.0225,-0.828291,2.71736E-011
-11,4.17532E-008,1.0225,-0.828291,2.71736E-011
-11,0.000000053,1.0225,-0.828291,2.71736E-011
-11,6.72336E-008,1.0225,-0.828291,2.71736E-011
-11,8.53168E-008,1.0225,-0.828291,2.71736E-011
-11,1.08264E-007,1.0225,-0.828291,2.71736E-011
-11,1.37382E-007,1.0225,-0.828291,1.37401E-007
-11,1.74333E-007,1.0225,-0.828291,1.74353E-007
-11,2.21222E-007,1.0225,-0.828291,2.21241E-007
-11,2.80722E-007,1.0225,-0.828291,2.80741E-007
-11,3.56225E-007,1.0225,-0.828291,3.29673E-007
-11,0.000000452,1.0225,-0.828291,3.30945E-007
-11,5.73615E-007,1.0225,-0.828291,3.30945E-007
-11,7.27895E-007,1.0225,-0.828291,3.30945E-007
-11,9.23671E-007,1.0225,-0.828291,3.30945E-007
-11,1.1721E-006,1.0225,-0.828291,3.30945E-007
-11,1.48735E-006,1.0225,-0.828291,3.30945E-007
-11,1.88739E-006,1.0225,-0.828291,3.30945E-007
-11,0.000002395,1.0225,-0.828291,3.30945E-007
-11,3.0392E-006,1.0225,-0.828291,3.30945E-007
-11,3.85662E-006,1.0225,-0.828291,3.30945E-007
-11,4.8939E-006,1.0225,-0.828291,3.30945E-007
-11,6.21017E-006,1.0225,-0.828291,3.30945E-007
-11,7.88046E-006,1.0225,-0.828291,3.30945E-007
-11,0.00001,1.0225,-0.828291,3.30945E-007
-12,0.00000001,1.0225,-1.00332,2.69283E-011
-12,1.26896E-008,1.0225,-1.00332,2.69283E-011
-12,1.61026E-008,1.0225,-1.00332,2.69283E-011
-12,2.04336E-008,1.0225,-1.00332,2.69283E-011
-12,2.59294E-008,1.0225,-1.00332,2.69283E-011
-12,3.29034E-008,1.0225,-1.00332,2.69283E-011
-12,4.17532E-008,1.0225,-1.00332,2.69283E-011
-12,0.000000053,1.0225,-1.00332,2.69283E-011
-12,6.72336E-008,1.0225,-1.00332,6.72537E-008
-12,8.53168E-008,1.0225,-1.00332,8.53385E-008
-12,1.08264E-007,1.0225,-1.00332,1.08286E-007
-12,1.37382E-007,1.0225,-1.00332,1.37406E-007
-12,1.74333E-007,1.0225,-1.00332,1.74357E-007
-12,2.21222E-007,1.0225,-1.00332,2.21245E-007
-12,2.80722E-007,1.0225,-1.00332,2.80745E-007
-12,3.56225E-007,1.0225,-1.00332,3.56248E-007
-12,0.000000452,1.0225,-1.00332,4.52057E-007
-12,5.73615E-007,1.0225,-1.00332,5.73636E-007
-12,7.27895E-007,1.0225,-1.00332,7.27914E-007
-12,9.23671E-007,1.0225,-1.00332,7.56557E-007
-12,1.1721E-006,1.0225,-1.00332,7.56557E-007
-12,1.48735E-006,1.0225,-1.00332,7.56557E-007
-12,1.88739E-006,1.0225,-1.00332,7.56557E-007
-12,0.000002395,1.0225,-1.00332,7.56557E-007
-12,3.0392E-006,1.0225,-1.00332,7.56557E-007
-12,3.85662E-006,1.0225,-1.00332,7.56557E-007
-12,4.8939E-006,1.0225,-1.00332,7.56557E-007
-12,6.21017E-006,1.0225,-1.00332,7.56557E-007
-12,7.88046E-006,1.0225,-1.00332,7.56557E-007
-12,0.00001,1.0225,-1.00332,7.56557E-007
-13,0.00000001,1.0225,-1.18076,2.67278E-011
-13,1.26896E-008,1.0225,-1.18076,2.67278E-011
-13,1.61026E-008,1.0225,-1.18076,2.67278E-011
-13,2.04336E-008,1.0225,-1.18076,2.67278E-011
-13,2.59294E-008,1.0225,-1.18076,2.67278E-011
-13,3.29034E-008,1.0225,-1.18076,2.67278E-011
-13,4.17532E-008,1.0225,-1.18076,4.17731E-008
-13,0.000000053,1.0225,-1.18076,0.000000053
-13,6.72336E-008,1.0225,-1.18076,6.72573E-008
-13,8.53168E-008,1.0225,-1.23394,8.5337E-008
-13,1.08264E-007,1.0225,-1.27767,1.08281E-007
-13,1.37382E-007,1.0225,-1.30625,1.37398E-007
-13,1.74333E-007,1.0225,-1.32048,1.74347E-007
-13,2.21222E-007,1.0225,-1.32247,2.21236E-007
-13,2.80722E-007,1.0225,-1.32291,2.80735E-007
-13,3.56225E-007,1.0225,-1.32291,3.56238E-007
-13,0.000000452,1.0225,-1.32291,0.000000452
-13,5.73615E-007,1.0225,-1.32291,5.73626E-007
-13,7.27895E-007,1.0225,-1.32291,7.27905E-007
-13,9.23671E-007,1.0225,-1.32291,9.23679E-007
-13,1.1721E-006,1.0225,-1.32291,9.36266E-007
-13,1.48735E-006,1.0225,-1.32291,9.36266E-007
-13,1.88739E-006,1.0225,-1.32291,9.36266E-007
-13,0.000002395,1.0225,-1.32291,9.36266E-007
-13,3.0392E-006,1.0225,-1.32291,9.36266E-007
-13,3.85662E-006,1.0225,-1.32291,9.36266E-007
-13,4.8939E-006,1.0225,-1.32291,9.36266E-007
-13,6.21017E-006,1.0225,-1.32291,9.36266E-007
-13,7.88046E-006,1.0225,-1.32291,9.36266E-007
-13,0.00001,1.0225,-1.32291,9.36266E-007
-14,0.00000001,1.0225,-1.36092,2.65384E-011
-14,1.26896E-008,1.0225,-1.36092,2.65384E-011
-14,1.61026E-008,1.0225,-1.36092,2.65384E-011
-14,2.04336E-008,1.0225,-1.36092,2.65384E-011
-14,2.59294E-008,1.0225,-1.36092,2.59474E-008
-14,3.29034E-008,1.0225,-1.36092,3.29244E-008
-14,4.17532E-008,1.0225,-1.36092,4.17763E-008
-14,0.000000053,1.0225,-1.43429,0.000000053
-14,6.72336E-008,1.0225,-1.50629,6.72479E-008
-14,8.53168E-008,1.0225,-1.56456,8.53273E-008
-14,1.08264E-007,1.0225,-1.60828,1.08271E-007
-14,1.37382E-007,1.0225,-1.63697,0.000000093
-14,1.74333E-007,1.0225,-1.65138,1.28229E-007
-14,2.21222E-007,1.0225,-1.65378,1.74836E-007
-14,2.80722E-007,1.0225,-1.65378,2.34336E-007
-14,3.56225E-007,1.0225,-1.65378,3.09838E-007
-14,0.000000452,1.0225,-1.65378,4.05648E-007
-14,5.73615E-007,1.0225,-1.65378,5.27227E-007
-14,7.27895E-007,1.0225,-1.65378,6.81506E-007
-14,9.23671E-007,1.0225,-1.65378,8.7728E-007
-14,1.1721E-006,1.0225,-1.65378,1.12571E-006
-14,1.48735E-006,1.0225,-1.65378,1.18134E-006
-14,1.88739E-006,1.0225,-1.65378,1.18134E-006
-14,0.000002395,1.0225,-1.65378,1.18134E-006
-14,3.0392E-006,1.0225,-1.65378,1.18134E-006
-14,3.85662E-006,1.0225,-1.65378,1.18134E-006
-14,4.8939E-006,1.0225,-1.65378,1.18134E-006
-14,6.21017E-006,1.0225,-1.65378,1.18134E-006
-14,7.88046E-006,1.0225,-1.65378,1.18134E-006
-14,0.00001,1.0225,-1.65378,1.18134E-006
-15,0.00000001,1.0225,-1.54402,2.64016E-011
-15,1.26896E-008,1.0225,-1.54402,2.64016E-011
-15,1.61026E-008,1.0225,-1.54402,2.64016E-011
-15,2.04336E-008,1.0225,-1.54402,2.04527E-008
-15,2.59294E-008,1.0225,-1.54402,0.000000026
-15,3.29034E-008,1.0225,-1.57442,3.29247E-008
-15,4.17532E-008,1.0225,-1.67826,4.17685E-008
-15,0.000000053,1.0225,-1.76538,0.000000053
-15,6.72336E-008,1.0225,-1.83743,3.57713E-008
-15,8.53168E-008,1.0225,-1.89557,5.01894E-008
-15,1.08264E-007,1.0225,-1.93942,6.98669E-008
-15,1.37382E-007,1.0225,-1.96785,9.63152E-008
-15,1.74333E-007,1.0225,-1.9825,1.3189E-007
-15,2.21222E-007,1.0225,-1.98448,1.78593E-007
-15,2.80722E-007,1.0225,-1.98502,0.000000238
-15,3.56225E-007,1.0225,-1.98502,3.13545E-007
-15,0.000000452,1.0225,-1.98502,4.09355E-007
-15,5.73615E-007,1.0225,-1.98502,5.30933E-007
-15,7.27895E-007,1.0225,-1.98502,6.85212E-007
-15,9.23671E-007,1.0225,-1.98502,0.000000881
-15,1.1721E-006,1.0225,-1.98502,1.12942E-006
-15,1.48735E-006,1.0225,-1.98502,1.44467E-006
-15,1.88739E-006,1.0225,-1.98502,1.84471E-006
-15,0.000002395,1.0225,-1.98502,2.35234E-006
-15,3.0392E-006,1.0225,-1.98502,2.99651E-006
-15,3.85662E-006,1.0225,-1.98502,3.81394E-006
-15,4.8939E-006,1.0225,-1.98502,4.85122E-006
-15,6.21017E-006,1.0225,-1.98502,6.16748E-006
-15,7.88046E-006,1.0225,-1.98502,7.83778E-006
-15,0.00001,1.0225,-1.98502,9.95731E-006
